Budget_Year,Project_type,Project_name,TEI,BP4_Agency,Completion_date,Completion_date_string,Earliest_budget_year,Est_completion_date,Est_exp_to_date,Estimated_completion_date,EstimatedCompletionDM,EstimatedCompletionYear,Fixed_notes,Footnotes,Project_location,Regional,State_Electorate,Remaining_exp,Sector,Start_date
2019-20,Existing,Monash Freeway upgrade - Stage 2,684424000,Department of Transport,12/31/2022,Jun-23,2018-19,qtr 4 2022‑23,35313000,6/30/2023 12:00:00 AM,30-Jun,23,TEI includes $483.800 million of Commonwealth funding.,The TEI includes $686.216 million of Commonwealth Government funding.,South-East Melbourne,Metropolitan,MULGRAVE,649111000,Transport,6/01/2018
2019-20,Existing,Mordialloc Freeway,375000000,Department of Transport,11/21/2021,Dec-22,2017-18,qtr 2 2022‑23,57651000,12/31/2022 12:00:00 AM,31-Dec,22,,"The TEI has decreased by $2.350 million due to savings, and excludes $1.000 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.",Braeside,Metropolitan,MORDIALLOC,317349000,Transport,6/01/2017
2023-24,Existing,More hospital and aged care beds for Melbourne’s East (Angliss Hospital Expansion Stage 2),112000000,Department of Health,,Jun-27,2021-22,qtr 4 2026-27,0,6/30/2027 12:00:00 AM,30-Jun,27,,,Upper Ferntree Gully,Metropolitan,MONBULK,112000000,Health and human services,6/01/2021
2016-17,Existing,Murray Basin Rail Project,220000000,Victorian Rail Track (VicTrack),,Dec-17,2015-16,qtr 2 2017‑18,50500000,12/31/2017 12:00:00 AM,31-Dec,17,TEI represents the State Government's funding commitment. Additional funds to complete the project is being sought from the Commonwealth.,The TEI includes $470.400 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,MILDURA,169500000,Transport,6/01/2015
2019-20,Existing,Murray Basin Rail Project,567700000,Victorian Rail Track (VicTrack),,,2015-16,tbc,371873000,,,,"$20.200 million has been reallocated to this project from the Regional Rail Revival - (Murray Basin Rail Project). The TEI includes funding for the ‘Rail Infrastructure Upgrades from Maryborough and Ararat to Ballarat', a $1.000 million contribution from GrainCorp, and  $35.000 million of Commonwealth funding for Ballarat Line Upgrade Stage 2. These projects have been combined for reporting purposes and the estimated completion date is to be confirmed.",The TEI includes $470.400 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,MILDURA,195827000,Transport,6/01/2015
2023-24,Existing,New Melton Hospital,950000000,Department of Health,,Jun-29,2022-23,qtr 4 2028-29,37840000,6/30/2029 12:00:00 AM,30-Jun,29,The TEI for this initiative will be reported as commercial arrangements are finalised. The estimated completion date was previously ‘tbc’ and has now been disclosed following further project development.,The TEI for this initiative will be reported as commercial arrangements are finalised. The estimated completion date was previously ‘tbc’ and has now been disclosed following further project development.,Cobblebank,Metropolitan,MELTON,0,Health and human services,6/01/2022
2023-24,New,New Tarneit railway station,124000000,Victorian Rail Track,,Jun-26,2023-24,qtr 4 2025-26,0,6/30/2026 12:00:00 AM,30-Jun,26,The TEI includes funding of $124.000 million announced in the 2022 Victorian Economic and Fiscal Update.,The TEI includes funding of $124.000 million announced in the 2022 Victorian Economic and Fiscal Update.,Tarneit,Metropolitan,TARNEIT,124000000,Transport,6/01/2023
2023-24,Existing,New trains for Sunbury,1788795000,Victorian Rail Track,,Dec-24,2019-20,qtr 2 2024-25,968275000,12/31/2024 12:00:00 AM,31-Dec,24,"The TEI has decreased by $180.000 million due to cost savings and by $4.200 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.","The TEI has decreased by $180.000 million due to cost savings and by $4.200 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",metropolitan various,Metropolitan,SUNBURY,820520000,Transport,6/01/2019
2019-20,New,New trains for Sunbury,2050365000,Victorian Rail Track (VicTrack),,Dec-24,2019-20,qtr 2 2024‑25,0,12/31/2024 12:00:00 AM,31-Dec,24,,"The TEI has decreased by $180.000 million due to cost savings and by $4.200 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Metropolitan,Metropolitan,SUNBURY,2050365000,Transport,6/01/2019
2023-24,Existing,New Wyndham Law Court Development,271128000,Court Services Victoria,,Mar-25,2021-22,qtr 3 2024-25,62770000,3/31/2025 12:00:00 AM,31-Mar,25,The estimated completion date has been revised to quarter 3 2024-25 in line with a revised project schedule.,The estimated completion date has been revised to quarter 3 2024-25 in line with a revised project schedule.,Werribee,Metropolitan,WERRIBEE,208358000,Justice and emergency services,6/01/2021
2019-20,New,North East Link,15640286000,Department of Transport,,Jun-27,2019-20,qtr 4 2026‑27,0,6/30/2027 12:00:00 AM,30-Jun,27,TEI includes $143.765 million in funding announced in previous budgets and excludes $150.011 million due to certain expenditure being recognised as expensed State costs (rather than capitalised) in accordance with relevant accounting standards. TEI excludes financing costs. Funding profile is not reported at this time due to commercial sensitivity of the live tender process.,TEI excludes $349.695 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. TEI excludes financing costs. Funding profile is not reported at this time due to commercial sensitivity of the live tender process.,Metropolitan,Metropolitan,BUNDOORA,15640286000,Transport,6/01/2019
2023-24,Existing,North East Link - Primary Package (Tunnels) and State Toll Co,14034000000,State Tolling Corporation,,Dec-28,2022-23,qtr 2 2028-29,2419097000,12/31/2028 12:00:00 AM,31-Dec,28,The TEI includes the $11.100 billion contract with the Spark consortium to deliver the Primary Package and other costs associated with the operations of the State Tolling Corporation. The project includes a share of $1.750 billion of Commonwealth Government funding. The TEI excludes financing costs associated with the Primary Package. The State Tolling Corporation is responsible for providing funding contributions to the ‘North East Link – Primary Package (Tunnels)' initiative. This project may be subject to the Commonwealth Infrastructure Investment Pipeline review.,The TEI includes the $11.100 billion contract with the Spark consortium to deliver the Primary Package and other costs associated with the operations of the State Tolling Corporation. The project includes a share of $1.750 billion of Commonwealth Government funding. The TEI excludes financing costs associated with the Primary Package. The State Tolling Corporation is responsible for providing funding contributions to the ‘North East Link – Primary Package (Tunnels)' initiative. This project may be subject to the Commonwealth Infrastructure Investment Pipeline review.,Greensborough,Metropolitan,BUNDOORA,11614903000,Transport,6/01/2022
2019-20,Existing,Northern Hospital inpatient expansion - Stage 2,162672000,Department of Health and Human Services,7/01/2021,Sep-21,2017-18,qtr 1 2021‑22,26268000,9/30/2021 12:00:00 AM,30-Sep,21,The project's cashflow has been revised in line with a revised project schedule.,,Epping,Metropolitan,THOMASTOWN,136404000,Health and human services,6/01/2017
2016-17,New,O'Herns Road upgrade,77750000,"Department of Economic Development, Jobs, Transport and Resources",7/01/2021,Jun-19,2016-17,qtr 4 2018‑19,0,6/30/2019 12:00:00 AM,30-Jun,19,The TEI represents total value of the project and is subject to matching Commonwealth Government funding.,"The TEI has increased by $35.499 million due to utility relocation and COVID-19 impacts, and includes $50.000 million of Commonwealth Government funding.",Epping,Metropolitan,THOMASTOWN,77750000,Transport,6/01/2016
2019-20,Existing,O'Herns Road upgrade,102803000,Department of Transport,,Jun-21,2016-17,qtr 4 2020‑21,35391000,6/30/2021 12:00:00 AM,30-Jun,21,TEI has increased by $25.000 million due to market escalation. TEI includes $25.801 million of Commonwealth funding. The estimated completion date has been revised to quarter 4 2020‑21 due to environmental approvals.,"The TEI has increased by $35.499 million due to utility relocation and COVID-19 impacts, and includes $50.000 million of Commonwealth Government funding.",Epping,Metropolitan,THOMASTOWN,67412000,Transport,6/01/2016
2019-20,Existing,Plenty Road upgrade - Stage 2,143409000,Department of Transport,1/07/2021,Dec-20,2016-17,qtr 2 2020‑21,11297000,12/31/2020 12:00:00 AM,31-Dec,20,TEI has increased by $40.000 million due to market escalation. The estimated completion date has been revised to quarter 2 2020‑21 due to procurement requirements.,TEI has increased by $0.779 million due to increased scope funded by a developer contribution.,South Morang,Metropolitan,MILL PARK,132112000,Transport,6/01/2016
2016-17,New,Plenty Road upgrade - Stage 2,139410000,"Department of Economic Development, Jobs, Transport and Resources",,,2016-17,tbc,0,,,,,TEI has increased by $0.779 million due to increased scope funded by a developer contribution.,Mill Park,Metropolitan,MILL PARK,139410000,Transport,6/01/2016
2016-17,Existing,Port Capacity Expansion project,598109000,Port of Melbourne Corporation,,,2015-16,ongoing,456886000,,,,,,Melbourne,Metropolitan,ALBERT PARK,141223000,Transport,6/01/2015
2019-20,Existing,Princes Highway duplication project - Winchelsea to Colac,349193000,Department of Transport,12/31/2019,Dec-19,2015-16,qtr 2 2019‑20,281830000,12/31/2019 12:00:00 AM,31-Dec,19,TEI includes $181.735 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2019‑20 due to design changes and archaeological discoveries.,TEI includes $181.735 million of Commonwealth funding.,Regional,Regional,POLWARTH,67363000,Transport,6/01/2015
2016-17,Existing,Princes Highway duplication project - Winchelsea to Colac,349490000,"Department of Economic Development, Jobs, Transport and Resources",,Jun-19,2015-16,qtr 4 2018‑19,27363000,6/30/2019 12:00:00 AM,30-Jun,19,TEI includes $181.735 million of Commonwealth funding.,TEI includes $181.735 million of Commonwealth funding.,Regional,Regional,POLWARTH,322127000,Transport,6/01/2015
2016-17,Existing,Princes Highway East - Traralgon to Sale duplication,260000000,"Department of Economic Development, Jobs, Transport and Resources",,Jun-19,2015-16,qtr 4 2018‑19,166280000,6/30/2019 12:00:00 AM,30-Jun,19,TEI includes $210.000 million of Commonwealth funding.,TEI includes $210.000 million of Commonwealth funding.,Regional,Regional,MORWELL,93720000,Transport,6/01/2015
2023-24,New,Redevelopment of Royal Melbourne Hospital and Royal Women's Hospital,2338000000,Department of Health,,Jun-32,2023-24,qtr 4 2031-32,3300000,6/30/2032 12:00:00 AM,30-Jun,32,This initiative was announced in the 2022 Victorian Economic and Fiscal Update.,This initiative was announced in the 2022 Victorian Economic and Fiscal Update.,Arden/Parkville,Metropolitan,MELBOURNE,2334700000,Health and human services,6/01/2023
2019-20,Existing,Regional Rail Revival - Gippsland Line Upgrade Stage 1,433938000,Victorian Rail Track (VicTrack),,Dec-22,2017-18,qtr 2 2022‑23,31335000,12/31/2022 12:00:00 AM,31-Dec,22,"TEI includes $418.000 million of Commonwealth funding, and excludes $1.062 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards. The estimated completion date has been revised due to packaging of the Gippsland‑Shepparton‑Bendigo alliance.",The TEI includes $449.400 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,GIPPSLAND EAST,402603000,Transport,6/01/2017
2019-20,Existing,Regional Rail Revival - Shepparton Corridor Upgrade - Stage 2,312487000,Victorian Rail Track (VicTrack),,Dec-22,2018-19,qtr 2 2022‑23,10384000,12/31/2022 12:00:00 AM,31-Dec,22,"TEI excludes $0.422 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards. Project name changed from 'Shepparton Line Upgrade - Stage 2' published in 2018-19 Budget. The estimated completion date has been revised due to the packaging of the Gippsland‑Shepparton‑Bendigo alliance.","The TEI has decreased by $1.052 million due to budgeted amounts being recognised as operating instead of capital expenditure, in line with accounting standards. VLocity trains were delivered in quarter 2 2022-23, with final commissioning to introduce the remaining Stage 2 infrastructure into service in quarter 4 2022-23.",Shepparton,Regional,SHEPPARTON,302103000,Transport,6/01/2018
2019-20,Existing,Regional Rail Revival - Warrnambool Line Upgrade - Stage 2,114000000,Victorian Rail Track (VicTrack),,Jun-22,2019-20,qtr 4 2021‑22,15636000,6/30/2022 12:00:00 AM,30-Jun,22,TEI includes $104.000 million of Commonwealth funding.,The TEI includes $208.000 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,SOUTH-WEST COAST,98364000,Transport,6/01/2019
2016-17,Existing,Royal Victorian Eye and Ear Hospital redevelopment,201000000,Department of Health and Human Services,3/31/2023,Dec-18,2015-16,qtr 2 2018‑19,77100000,12/31/2018 12:00:00 AM,31-Dec,18,"The TEI for this project has increased due to an additional $31.400 million provided in 2016‑17 (including a $10.000 million contribution from the health service) in order to complete the project. The health service has also separately funded $4.600 million for the addition of a new Education Centre, bringing the combined TEI to $201.000 million.",,Melbourne,Metropolitan,MELBOURNE,123900000,Health and human services,6/01/2015
2019-20,Existing,Royal Victorian Eye and Ear Hospital redevelopment,274557000,Department of Health and Human Services,,Dec-21,2015-16,qtr 2 2021‑22,199588000,12/31/2021 12:00:00 AM,31-Dec,21,The project's TEI has increased to reflect the additional joint funding between the department and the Royal Victorian Eye and Ear Hospital. The cashflow has been revised in line with a revised project schedule.,,Melbourne,Metropolitan,MELBOURNE,74969000,Health and human services,6/01/2015
2019-20,Existing,Rural and Regional Roads Package - Echuca‑Moama bridge,134903000,Department of Transport,6/30/2022,Jun-22,2017-18,qtr 4 2021‑22,33414000,6/30/2022 12:00:00 AM,30-Jun,22,TEI includes $46.000 million of Commonwealth funding and excludes contribution from New South Wales.,The TEI includes $76.376 million of Commonwealth Government funding for the Victorian portion. The TEI excludes funding contributions from the New South Wales Government and the Commonwealth Government portion for New South Wales. The TEI has decreased by $7.787 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Echuca,Regional,MURRAY PLAINS,101489000,Transport,6/01/2017
2019-20,Existing,Safe Digital Clinical Systems - Parkville Precinct EMR,123800000,Department of Health and Human Services,8/08/2020,Jun-21,2018-19,qtr 4 2020-21,12222000,6/30/2021 12:00:00 AM,30-Jun,21,Project name changed from Electronic medical records in Parkville (Parkville) published in the 2018-19 budget papers,Project name changed from Electronic medical records in Parkville (Parkville) published in the 2018-19 budget papers,Parkville,Metropolitan,MELBOURNE,111578000,Health and human services,6/01/2018
2023-24,Existing,South Dynon Train Maintenance Facility Stage 1,121774000,Victorian Rail Track,,Sep-23,2023-24,qtr 1 2023-24,65665000,9/30/2023 12:00:00 AM,30-Sep,23,The project name has changed from 'South Dynon train maintenance facility (statewide)' when it was published in the 2022-23 Budget. The TEI was previously 'tbc' and has now been disclosed following the completion of the procurement process.,The project name has changed from 'South Dynon train maintenance facility (statewide)' when it was published in the 2022-23 Budget. The TEI was previously 'tbc' and has now been disclosed following the completion of the procurement process.,statewide,Statewide,MELBOURNE,56109000,Transport,6/01/2023
2023-24,New,South Dynon Train Maintenance Facility Stage 2,296755000,Victorian Rail Track,,Jun-26,2023-24,qtr 4 2025-26,10172000,6/30/2026 12:00:00 AM,30-Jun,26,The TEI includes funding of $10.200 million announced in the 2022 Victorian Economic and Fiscal Update.,The TEI includes funding of $10.200 million announced in the 2022 Victorian Economic and Fiscal Update.,statewide,Statewide,MELBOURNE,286583000,Transport,6/01/2023
2023-24,Existing,State Basketball Centre redevelopment,128449000,Other PNFC,,Sep-24,2022-23,qtr 1 2024-25,123049000,9/30/2024 12:00:00 AM,30-Sep,24,The estimated completion date has been revised to quarter 1 2024-25 in line with a staged project schedule. The TEI includes a $27.000 million contribution from the Knox City Council.,The estimated completion date has been revised to quarter 1 2024-25 in line with a staged project schedule. The TEI includes a $27.000 million contribution from the Knox City Council.,Knox,Metropolitan,BAYSWATER,5400000,"Culture, sport and community",6/01/2022
2016-17,New,Streamlining Hoddle Street,56210000,"Department of Economic Development, Jobs, Transport and Resources",6/30/2019,Jun-19,2016-17,qtr 4 2018‑19,0,6/30/2019 12:00:00 AM,30-Jun,19,Balance of election commitment was delivered in the 2015‑16 Budget.,,Richmond,Metropolitan,RICHMOND,56210000,Transport,6/01/2016
2019-20,New,Suburban Rail Loop,250000000,Victorian Rail Track (VicTrack),,,2019-20,tbc,0,,,,Funding is for detailed planning and development activities.,Funding is for detailed planning and development activities.,Metropolitan,Metropolitan,BOX HILL,250000000,Transport,6/01/2019
2019-20,New,Suburban Rail Loop - Airport,680680000,Victorian Rail Track (VicTrack),,,2019-20,tbc,10000000,,,,This funding represents the Commonwealth contribution to the project. The Government has made a substantial provision in the Victorian Transport Fund for this project. The project is in its planning phase.,The State and Commonwealth governments have committed $5.000 billion each to the project. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Metropolitan,Metropolitan,SUNBURY,670680000,Transport,6/01/2019
2023-24,Existing,Suburban Rail Loop Initial and Early Works,2371617970,Victorian Rail Track,,Jun-25,2021-22,qtr 4 2024-25,672251070,6/30/2025 12:00:00 AM,30-Jun,25,"The project name has changed from ‘Suburban Rail Loop - Initial and Early Works (metro various)' when it was published in the 2022-23 Budget. The TEI has increased by $11.913 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards.","The project name has changed from ‘Suburban Rail Loop - Initial and Early Works (metro various)' when it was published in the 2022-23 Budget. The TEI has increased by $11.913 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards.",metropolitan various,Metropolitan,BOX HILL,1699366900,Transport,6/01/2021
2016-17,New,Thompsons Road duplication,148300000,"Department of Economic Development, Jobs, Transport and Resources",8/01/2020,Jun-19,2016-17,qtr 4 2018‑19,0,6/30/2019 12:00:00 AM,30-Jun,19,Balance of election commitment was delivered in the 2015‑16 Budget.,,Lyndhurst,Metropolitan,NARRE WARREN SOUTH,148300000,Transport,6/01/2016
2019-20,Existing,Victorian Heart Hospital,564000000,Department of Health and Human Services,2/01/2023,Dec-22,2016-17,qtr 2 2022‑23,71773000,12/31/2022 12:00:00 AM,31-Dec,22,The project's TEI has increased by $21.000 million to reflect change design requirements by Monash University. The cashflow has been revised in line with a new project schedule.,,Clayton,Metropolitan,OAKLEIGH,492227000,Health and human services,6/01/2016
2016-17,New,Victorian Heart Hospital,135000000,Department of Health and Human Services,,,2016-17,tbc,0,,,,"Additional funding of $15.000 million was provided in 2015‑16 for planning and development, bringing the Government's contribution to $150.000 million. Final project TEI and completion date will be determined following completion of business planning and development, and confirmation of funding contributions from project partners.",,Clayton,Metropolitan,OAKLEIGH,135000000,Health and human services,6/01/2016
2023-24,Existing,Warrnambool Base Hospital Redevelopment,384200000,Department of Health,,Jun-27,2021-22,qtr 4 2026-27,34000000,6/30/2027 12:00:00 AM,30-Jun,27,The estimated completion date has been revised to quarter 4 2026-27 in line with a revised project schedule.,The estimated completion date has been revised to quarter 4 2026-27 in line with a revised project schedule.,Warrnambool,Regional,SOUTH-WEST COAST,350200000,Health and human services,6/01/2021
2016-17,New,West Gate Tunnel,5500000000,"Department of Economic Development, Jobs, Transport and Resources",,,2016-17,2022,17900000,,,,"The project is anticipated to be funded through a combination of tolls on the new road connections, an extension to CityLink concession and a government contribution. The cash flows in this table represent the State's expected contribution over the forward estimates.","The TEI has decreased by $58.212 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Metropolitan,Metropolitan,WILLIAMSTOWN,5482100000,Transport,6/01/2016
2019-20,Existing,West Gate Tunnel,6301924000,Department of Transport,,Dec-22,2016-17,qtr 2 2022‑23,2529738000,12/31/2022 12:00:00 AM,31-Dec,22,TEI excludes $42.508 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.,"The TEI has decreased by $58.212 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Metropolitan,Metropolitan,WILLIAMSTOWN,3772186000,Transport,6/01/2016
2023-24,Existing,West Gate Tunnel,10154091683,Department of Transport and Planning,,Dec-25,2016-17,qtr 2 2025-26,7990025966,12/31/2025 12:00:00 AM,31-Dec,25,"The TEI has decreased by $58.212 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.","The TEI has decreased by $58.212 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",metropolitan various,Metropolitan,WILLIAMSTOWN,2164065717,Transport,6/01/2016
2019-20,Existing,Western Highway duplication - Ballarat to Stawell,656357000,Department of Transport,,Dec-21,2015-16,qtr 2 2021‑22,512068000,12/31/2021 12:00:00 AM,31-Dec,21,TEI includes $499.380 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2021‑22 due to a change in scope.,The TEI includes $499.380 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,RIPON,144289000,Transport,6/01/2015
2016-17,Existing,Western Highway duplication - Ballarat to Stawell,662300000,"Department of Economic Development, Jobs, Transport and Resources",,Mar-19,2015-16,qtr 3 2018‑19,429815000,3/31/2019 12:00:00 AM,31-Mar,19,TEI includes $501.300 million of Commonwealth funding.,The TEI includes $499.380 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,RIPON,232485000,Transport,6/01/2015
2019-20,New,Western Plains Correctional Centre,689450000,Department of Justice and Community Safety,11/01/2022,Jun-22,2018-19,qtr 4 2021‑22,36199000,6/30/2022 12:00:00 AM,30-Jun,22,Previously known as Lara Prison precinct expansion published in 2018‑19 budget papers. Cash flow has been revised in line with a revised project schedule.,The TEI has decreased by $49.402 million.,Chisholm Road,Regional,LARA,653251000,Justice and emergency services,6/01/2018
2019-20,Existing,Wonthaggi Hospital emergency department expansion,115000000,Department of Health and Human Services,11/01/2022,Jun-23,2018-19,qtr 4 2022‑23,2000000,6/30/2023 12:00:00 AM,30-Jun,23,,,Wonthaggi,Regional,BASS ,113000000,Health and human services,6/01/2018
2019-20,Existing,Wyndham Vale Stabling Yard,172900000,Victorian Rail Track (VicTrack),4/17/2020,Mar-20,2018-19,qtr 3 2019‑20,82936000,3/31/2020 12:00:00 AM,31-Mar,20,Project name changed from 'Regional rail infrastructure and new regional trains' published in 2018-19 Budget.,TEI has decreased by $8.643 million due to project savings.,Regional,Regional,WERRIBEE,89964000,Transport,6/01/2018
2019-20,Existing,Yan Yean Road duplication - Stage 1,125958000,Department of Transport,7/01/2019,Jun-20,2016-17,qtr 4 2019‑20,117737000,6/30/2020 12:00:00 AM,30-Jun,20,,,Plenty,Metropolitan,YAN YEAN,8221000,Transport,6/01/2016
2019-20,,,0,,,,,,0,,,,,,,,ALBERT PARK,0,,
2016-17,,,0,,,,,,0,,,,,,,,ALBERT PARK,0,,
2023-24,,,0,,,,,,0,,,,,,,,ALBERT PARK,0,,
2019-20,,,0,,,,,,0,,,,,,,,ASHWOOD,0,,
2016-17,,,0,,,,,,0,,,,,,,,ASHWOOD,0,,
2023-24,,,0,,,,,,0,,,,,,,,ASHWOOD,0,,
2019-20,,,0,,,,,,0,,,,,,,,BASS,0,,
2016-17,,,0,,,,,,0,,,,,,,,BASS,0,,
2023-24,,,0,,,,,,0,,,,,,,,BASS,0,,
2019-20,,,0,,,,,,0,,,,,,,,BAYSWATER,0,,
2016-17,,,0,,,,,,0,,,,,,,,BAYSWATER,0,,
2023-24,,,0,,,,,,0,,,,,,,,BAYSWATER,0,,
2019-20,,,0,,,,,,0,,,,,,,,BELLARINE,0,,
2016-17,,,0,,,,,,0,,,,,,,,BELLARINE,0,,
2023-24,,,0,,,,,,0,,,,,,,,BELLARINE,0,,
2019-20,,,0,,,,,,0,,,,,,,,BENAMBRA,0,,
2016-17,,,0,,,,,,0,,,,,,,,BENAMBRA,0,,
2023-24,,,0,,,,,,0,,,,,,,,BENAMBRA,0,,
2019-20,,,0,,,,,,0,,,,,,,,BENDIGO EAST,0,,
2016-17,,,0,,,,,,0,,,,,,,,BENDIGO EAST,0,,
2023-24,,,0,,,,,,0,,,,,,,,BENDIGO EAST,0,,
2019-20,,,0,,,,,,0,,,,,,,,BENDIGO WEST,0,,
2016-17,,,0,,,,,,0,,,,,,,,BENDIGO WEST,0,,
2023-24,,,0,,,,,,0,,,,,,,,BENDIGO WEST,0,,
2019-20,,,0,,,,,,0,,,,,,,,BENTLEIGH,0,,
2016-17,,,0,,,,,,0,,,,,,,,BENTLEIGH,0,,
2023-24,,,0,,,,,,0,,,,,,,,BENTLEIGH,0,,
2019-20,,,0,,,,,,0,,,,,,,,BERWICK,0,,
2016-17,,,0,,,,,,0,,,,,,,,BERWICK,0,,
2023-24,,,0,,,,,,0,,,,,,,,BERWICK,0,,
2019-20,,,0,,,,,,0,,,,,,,,BOX HILL,0,,
2016-17,,,0,,,,,,0,,,,,,,,BOX HILL,0,,
2023-24,,,0,,,,,,0,,,,,,,,BOX HILL,0,,
2019-20,,,0,,,,,,0,,,,,,,,BRIGHTON,0,,
2016-17,,,0,,,,,,0,,,,,,,,BRIGHTON,0,,
2023-24,,,0,,,,,,0,,,,,,,,BRIGHTON,0,,
2019-20,,,0,,,,,,0,,,,,,,,BROADMEADOWS,0,,
2016-17,,,0,,,,,,0,,,,,,,,BROADMEADOWS,0,,
2023-24,,,0,,,,,,0,,,,,,,,BROADMEADOWS,0,,
2019-20,,,0,,,,,,0,,,,,,,,BRUNSWICK,0,,
2016-17,,,0,,,,,,0,,,,,,,,BRUNSWICK,0,,
2023-24,,,0,,,,,,0,,,,,,,,BRUNSWICK,0,,
2019-20,,,0,,,,,,0,,,,,,,,BULLEEN,0,,
2016-17,,,0,,,,,,0,,,,,,,,BULLEEN,0,,
2023-24,,,0,,,,,,0,,,,,,,,BULLEEN,0,,
2019-20,,,0,,,,,,0,,,,,,,,BUNDOORA,0,,
2016-17,,,0,,,,,,0,,,,,,,,BUNDOORA,0,,
2023-24,,,0,,,,,,0,,,,,,,,BUNDOORA,0,,
2019-20,,,0,,,,,,0,,,,,,,,CARRUM,0,,
2016-17,,,0,,,,,,0,,,,,,,,CARRUM,0,,
2023-24,,,0,,,,,,0,,,,,,,,CARRUM,0,,
2019-20,,,0,,,,,,0,,,,,,,,CAULFIELD,0,,
2016-17,,,0,,,,,,0,,,,,,,,CAULFIELD,0,,
2023-24,,,0,,,,,,0,,,,,,,,CAULFIELD,0,,
2019-20,,,0,,,,,,0,,,,,,,,CLARINDA,0,,
2016-17,,,0,,,,,,0,,,,,,,,CLARINDA,0,,
2023-24,,,0,,,,,,0,,,,,,,,CLARINDA,0,,
2019-20,,,0,,,,,,0,,,,,,,,CRANBOURNE,0,,
2016-17,,,0,,,,,,0,,,,,,,,CRANBOURNE,0,,
2023-24,,,0,,,,,,0,,,,,,,,CRANBOURNE,0,,
2019-20,,,0,,,,,,0,,,,,,,,CROYDON,0,,
2016-17,,,0,,,,,,0,,,,,,,,CROYDON,0,,
2023-24,,,0,,,,,,0,,,,,,,,CROYDON,0,,
2019-20,,,0,,,,,,0,,,,,,,,DANDENONG,0,,
2016-17,,,0,,,,,,0,,,,,,,,DANDENONG,0,,
2023-24,,,0,,,,,,0,,,,,,,,DANDENONG,0,,
2019-20,,,0,,,,,,0,,,,,,,,EILDON,0,,
2016-17,,,0,,,,,,0,,,,,,,,EILDON,0,,
2023-24,,,0,,,,,,0,,,,,,,,EILDON,0,,
2019-20,,,0,,,,,,0,,,,,,,,ELTHAM,0,,
2016-17,,,0,,,,,,0,,,,,,,,ELTHAM,0,,
2023-24,,,0,,,,,,0,,,,,,,,ELTHAM,0,,
2019-20,,,0,,,,,,0,,,,,,,,ESSENDON,0,,
2016-17,,,0,,,,,,0,,,,,,,,ESSENDON,0,,
2023-24,,,0,,,,,,0,,,,,,,,ESSENDON,0,,
2019-20,,,0,,,,,,0,,,,,,,,EUREKA,0,,
2016-17,,,0,,,,,,0,,,,,,,,EUREKA,0,,
2023-24,,,0,,,,,,0,,,,,,,,EUREKA,0,,
2019-20,,,0,,,,,,0,,,,,,,,EUROA,0,,
2016-17,,,0,,,,,,0,,,,,,,,EUROA,0,,
2023-24,,,0,,,,,,0,,,,,,,,EUROA,0,,
2019-20,,,0,,,,,,0,,,,,,,,EVELYN,0,,
2016-17,,,0,,,,,,0,,,,,,,,EVELYN,0,,
2023-24,,,0,,,,,,0,,,,,,,,EVELYN,0,,
2019-20,,,0,,,,,,0,,,,,,,,FOOTSCRAY,0,,
2016-17,,,0,,,,,,0,,,,,,,,FOOTSCRAY,0,,
2023-24,,,0,,,,,,0,,,,,,,,FOOTSCRAY,0,,
2019-20,,,0,,,,,,0,,,,,,,,FRANKSTON,0,,
2016-17,,,0,,,,,,0,,,,,,,,FRANKSTON,0,,
2023-24,,,0,,,,,,0,,,,,,,,FRANKSTON,0,,
